title,score,developer,publisher,rom_name,size
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,5.8,Traveller's Tales,Activision,Toy Story 2 - Buzz Lightyear to the Rescue! (USA) (Rev 1).z64,12582912
PGA European Tour,5.8,Infogrames Sheffield,Infogrames,PGA European Tour (USA).z64,16777216
"Hey You, Pikachu!",5.7,Ambrella,Nintendo,"Hey You, Pikachu! (USA).z64",16777216
NFL QB Club 2001,5.7,High Voltage Software,Acclaim,NFL QB Club 2001 (USA).z64,12582912
Hercules: The Legendary Journeys,5.5,Player 1,Titus Software,Hercules - The Legendary Journeys (USA) (Beta 2).v64,16777216
Fighter Destiny 2,5.4,Opus,SouthPeak Games,Fighters Destiny (USA).z64,12582912
Aidyn Chronicles: The First Mage,5.3,H2O Interactive,THQ,Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05).v64,33554432
Scooby-Doo! Classic Creep Capers,5.3,Terraglyph Interactive Studios,THQ,Scooby-Doo! - Classic Creep Capers (USA) (Rev 1).z64,16777216
WCW Backstage Assault,4.8,Kodiak Interactive,Electronic Arts,WCW Backstage Assault (USA).z64,33554432
Army Men: Sarge's Heroes 2,4.6,3DO,3DO,Army Men - Sarge's Heroes 2 (USA).z64,8388608
Cruis'n  Exotica,4.3,Gratuitous Games,Midway,Cruis'n Exotica (USA).z64,16777216
Rally Challenge 2000,4.1,Genki,SouthPeak Games,Rally Challenge 2000 (USA).z64,12582912
Blues Brothers 2000,3.2,Player 1,Titus Software,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta) (2000-01-15) (#53).v64",33554432
Saban's Power Rangers: Lightspeed Rescue,2.5,Mass Media,THQ,Power Rangers - Lightspeed Rescue (USA).z64,12582912
Batman Beyond: Return of the Joker,2.4,Kemco,Ubisoft,Batman Beyond - Return of the Joker (USA).z64,4194304
