title,score,developer,publisher
Tom Clancy's Splinter Cell,7.7,Ubisoft Montreal,Ubisoft
Yggdra Union: We'll Never Fight Alone,7.7,Sting,Atlus
Baldur's Gate: Dark Alliance,7.6,Snowblind Studios,Interplay
Boxing Fever,7.6,Digital Fiction,Majesco
Chessmaster,7.6,Ubisoft,Ubisoft
CT Special Forces 2: Back in the Trenches,7.6,LSP,Hip Games
Disney's Kim Possible 3: Team Possible,7.6,Artificial Mind and Movement,Buena Vista Interactive
FIFA Soccer 2003,7.6,EA Canada,EA Sports
Harry Potter and the Chamber of Secrets,7.6,Electronic Arts,EA Games
Kingdom Hearts: Chain of Memories,7.6,Jupiter Corporation,Square Enix
Lufia: The Ruins of Lore,7.6,Taito Corporation,Atlus
Madden NFL 2003,7.6,EA Sports,EA Sports
Monster Rancher Advance,7.6,Tecmo,Tecmo
Phantasy Star Collection,7.6,Digital Eclipse,THQ
Pokemon Emerald Version,7.6,Game Freak,Nintendo
Riviera: The Promised Land,7.6,Sting,Atlus
Scurge: Hive,7.6,"Orbital Media, Inc.",SouthPeak Games
Shonen Jump's One Piece,7.6,Dimps Corporation,Bandai
Spyro 2: Season of Flame,7.6,Digital Eclipse,Universal Interactive
Tales of Phantasia,7.6,Namco,Nintendo
Tom Clancy's Rainbow Six: Rogue Spear (2002),7.6,Ubisoft Milan,Ubisoft
Aggressive Inline,7.5,"Z-Axis, Ltd.",Acclaim
Atari Anniversary Advance,7.5,Digital Eclipse,Infogrames
Bomberman Max 2: Blue Advance,7.5,Hudson,Majesco
Bomberman Max 2: Red Advance,7.5,Hudson,Majesco
Crash Bandicoot 2: N-Tranced,7.5,Vicarious Visions,Universal Interactive
Double Dragon Advance,7.5,Million,Atlus
Dragon Ball: Advanced Adventure,7.5,Dimps Corporation,Atari SA
Dragon Ball Z: The Legacy of Goku II,7.5,Webfoot Technologies,Atari SA
Egg Mania: Eggstreme Madness,7.5,Kemco,Kemco
FIFA Soccer 2005,7.5,EA Canada,EA Sports
Frogger's Adventures 2: The Lost Wand,7.5,Konami,Konami
Jackie Chan Adventures,7.5,Torus Games,Activision
LEGO Star Wars,7.5,Traveller's Tales,Eidos Interactive
Mary-Kate and Ashley: Girls Night Out,7.5,Powerhead Games,Acclaim
Monster Truck Madness,7.5,Tantalus,THQ
Mortal Kombat: Tournament Edition,7.5,Criterion Games,Midway
Muppet Pinball Mayhem,7.5,Digital Eclipse,NewKidCo
Prince of Persia: The Sands of Time,7.5,Ubisoft,Ubisoft
River City Ransom,7.5,Million,Atlus
Sabre Wulf,7.5,Rare Ltd.,THQ
The Lost Vikings,7.5,Mass Media,Blizzard Classic Arcade
Tiger Woods PGA Tour 2004,7.5,EA Sports,EA Sports
Uno / Skip-Bo,7.5,Black Lantern Studios,Destination Software
Worms World Party,7.5,Team17,Titus Software
Castlevania,7.4,Konami,Nintendo
Dr. Mario / Puzzle League,7.4,TOSE,Nintendo
GT Advance 3: Pro Concept Racing,7.4,MTO,THQ
Hot Potato! (2001),7.4,Pukka Games,Bam Entertainment
Jet Grind Radio,7.4,Vicarious Visions,THQ
Shining Soul II,7.4,Nex Entertainment,Atlus
Spyro: Season of Ice,7.4,Digital Eclipse,Universal Interactive
All-Star Baseball 2004,7.3,Acclaim Studios Austin,Acclaim
Blender Bros.,7.3,AI,Infogrames
Disney Sports: Basketball,7.3,Konami,Konami
Dragon Ball Z: Supersonic Warriors,7.3,Cavia Inc.,Atari SA
Driver 2 Advance,7.3,Sennari Interactive,Infogrames
Drome Racers,7.3,Attention To Detail,Lego Media
Frogger's Adventures: Temple of the Frog,7.3,Konami Computer Entertainment Hawaii,Konami
It's Mr Pants,7.3,Rare Ltd.,THQ
James Bond 007: Everything or Nothing,7.3,EA Redwood Shores,EA Games
Lady Sia,7.3,RFX Interactive,TDK Mediactive
Star Wars Episode III: Revenge of the Sith,7.3,Double Helix Games,LucasArts
Ty the Tasmanian Tiger 3: Night of the Quinkan,7.3,Krome Studios,Activision Value
VeggieTales: LarryBoy and the Bad Apple,7.3,Crave,Crave
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,7.3,Konami,Konami
Zelda II: The Adventure of Link,7.3,Nintendo,Nintendo
Ballistic: Ecks vs. Sever II,7.2,Crawfish Interactive,Bam Entertainment
Banjo-Kazooie: Grunty's Revenge,7.2,Rare Ltd.,THQ
Defender of the Crown,7.2,Crawfish Interactive,Metro3D
Earthworm Jim,7.2,Game Titan,Majesco
Fire Pro Wrestling 2,7.2,Spike,Bam Entertainment
Hamtaro: Ham-Ham Heartbreak,7.2,Pax Softonica,Nintendo
Justice League Heroes: The Flash,7.2,WayForward,Warner Bros. Interactive Entertainment
Kelly Slater's Pro Surfer,7.2,Treyarch,Activision
Lemony Snicket's A Series of Unfortunate Events (2004),7.2,Griptonite Games,Activision
Need for Speed: Underground 2,7.2,EA Canada,Electronic Arts
Noddy: A Day in Toyland,7.2,Lucky Jump,The Game Factory
Shaman King: Master of Spirits 2,7.2,KCEJ,Konami
Shrek 2 (2004),7.2,Vicarious Visions,Activision
Spyro: Attack of the Rhynocs,7.2,Digital Eclipse,Universal Interactive
Super Robot Taisen: Original Generation,7.2,Banpresto,Atlus
Sword of Mana,7.2,Brownie Brown,Nintendo
The Mummy,7.2,Rebellion,Konami
The Scorpion King: Sword of Osiris,7.2,WayForward,Universal Interactive
The Urbz: Sims in the City,7.2,Maxis,EA Games
Turok: Evolution (2002),7.2,RFX Interactive,Acclaim
Wings (1990),7.2,Crawfish Interactive,Metro3D
X2: Wolverine's Revenge,7.2,GenePool,Activision
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,7.2,KCEJ,Konami
Aero The Acro-Bat,7.1,Atomic Planet Entertainment,Metro3D
AirForce Delta Storm,7.1,KCE Studios,Konami
CT Special Forces,7.1,LSP,Hip Games
Disney's Chicken Little (2005),7.1,Artificial Mind and Movement,Buena Vista Games
DreamWorks Madagascar (Game Boy Advance),7.1,Vicarious Visions,Activision
Game & Watch Gallery 4,7.1,TOSE,Nintendo
Harry Potter and the Goblet of Fire,7.1,Electronic Arts,Electronic Arts
Hi Hi Puffy AmiYumi: Kaznapped!,7.1,Altron,D3Publisher
Madden NFL 06,7.1,EA Tiburon,EA Sports
Mat Hoffman's Pro BMX,7.1,Shaba Games,Activision
Phalanx,7.1,Kemco,Kemco
Rampage: Puzzle Attack,7.1,Ninai Games,Midway
Secret Agent Barbie: Royal Jewels Mission,7.1,Digital Illusions,VU Games
Shrek: Hassle at the Castle,7.1,TOSE,TDK Mediactive
SpongeBob SquarePants: Revenge of the Flying Dutchman (2002),7.1,Vicarious Visions,THQ
Teenage Mutant Ninja Turtles (Game Boy Advance),7.1,Konami,Konami
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,7.1,TOSE,Buena Vista Interactive
Zone of the Enders: The Fist of Mars,7.1,WinkySoft,Konami
ZooCube,7.1,PuzzleKings,Acclaim
CIMA: The Enemy,7.0,Neverland,Natsume
Columns Crown,7.0,Wow Entertainment,THQ
Contra III: The Alien Wars,7.0,TOSE,Konami
Disney's Extreme Skate Adventure,7.0,Toys for Bob,Activision
DK: King of Swing,7.0,Paon Corporation,Nintendo
Dokapon: Monster Hunter,7.0,"Asmik Ace Entertainment, Inc",AIA
Eragon,7.0,Stormfront Studios,Sierra Entertainment
