title,score,developer,publisher,rom_name,size
NHL Slapshot,8.5,EA Sports,EA Sports,NHL Slapshot (USA).iso,4699979776
Maboshi's Arcade,8.5,Mindware,Nintendo,Maboshi's Arcade (USA) (WiiWare).wad,22401280
Endless Ocean: Blue World,8.5,Arika,Nintendo,Endless Ocean - Blue World (USA).iso,4699979776
Boom Blox,8.5,EA LA,Electronic Arts,"Boom Blox (USA) (En,Fr,Es).iso",4699979776
Wii Sports Resort,8.4,Nintendo,Nintendo,"Wii Sports Resort (USA) (En,Fr,Es) (Rev 1).iso",4699979776
Wario Land: Shake It!,8.4,Good-Feel,Nintendo,Wario Land Shake (Japan) (Rev 1).iso,4699979776
Rune Factory Frontier,8.4,Neverland,XSEED Games,Rune Factory - Frontier (USA).iso,4699979776
Rhythm Heaven Fever,8.4,Nintendo,Nintendo,Rhythm Heaven Fever (USA).iso,4699979776
Project Zero 2: Wii Edition,8.4,Koei Tecmo Games,Nintendo,"Project Zero 2 - Wii Edition (Europe) (En,Fr,De,Es,It).iso",4699979776
Mushroom Men: The Spore Wars,8.4,Red Fly Studio,SouthPeak Games,"Mushroom Men - The Spore Wars (USA) (En,Fr,Es).iso",4699979776
Fragile Dreams: Farewell Ruins of the Moon,8.4,Tri-Crescendo,XSEED Games,"Fragile Dreams - Farewell Ruins of the Moon (USA) (En,Ja,Fr).iso",4699979776
Final Fantasy Fables: Chocobo's Dungeon,8.4,h.a.n.d. Inc.,Square Enix,Final Fantasy Fables - Chocobo's Dungeon (USA).iso,4699979776
Battalion Wars 2,8.4,Kuju Entertainment,Nintendo,Battalion Wars 2 (USA).iso,4699979776
Spectrobes: Origins,8.3,Genki,Disney Interactive Studios,Spectrobes - Origins (USA).iso,4699979776
MadWorld,8.3,PlatinumGames,Sega,"MadWorld (USA) (En,Fr,Es).iso",4699979776
Contra ReBirth,8.3,M2,Konami,Contra ReBirth (USA) (WiiWare).wad,38480512
chick chick BOOM,8.3,Tons of Bits,Tons of Bits,Chick Chick BOOM (USA) (WiiWare).wad,27923968
Arc Rise Fantasia,8.3,Imageepoch,Ignition Entertainment,Arc Rise Fantasia (USA).iso,4699979776
Water Warfare,8.2,Hudson Soft,Hudson Soft,Water Warfare (USA) (WiiWare).wad,39495104
Trauma Team,8.2,Atlus,Atlus,Trauma Team (USA).iso,4699979776
Pokemon Rumble,8.2,Ambrella,Nintendo,Pokemon Rumble (USA) (WiiWare).wad,27330304
NiGHTS: Journey of Dreams,8.2,Sonic Team,Sega,"Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It).iso",4699979776
Mario Strikers Charged,8.2,Next Level Games,Nintendo,"Mario Strikers Charged (USA) (En,Fr,Es) (Rev 1).iso",4699979776
