title,score,developer,publisher
The Great Circus Mystery Starring Mickey & Minnie,,Klein Computer Entertainment,Capcom
That's So Raven 2: Supernatural Style,,Artificial Mind and Movement,Buena Vista Interactive
Terminator 3: Rise of the Machines (2003),,Taniko,Atari SA
Tang Tang,,GameVision,Take-Two Interactive
Tak: The Great Juju Challenge (2005),,WayForward,THQ
Tak 2: The Staff of Dreams (2004),,Helixe,THQ
Superman: Countdown To Apokolips,,Mistic Software,Atari SA
Super Duper Sumos,,Handheld Games,Midway
Super Army War,,Neko Entertainment,Atlus
Street Jam Basketball,,Prograph,Destination Software
Star X,,Graphic State,Bam Entertainment
Star Wars Trilogy: Apprentice of the Force,,Ubisoft,Ubisoft
Star Wars: Flight of the Falcon,,Pocket Studios,THQ
Sports Illustrated for Kids: Baseball,,Sennari Interactive,Bam Entertainment
SpongeBob SquarePants: Revenge of the Flying Dutchman (2002),,Vicarious Visions,THQ
Spirit: Stallion of the Cimarron (2002),,Hyperspace Cowgirls,THQ
Space Channel 5: Ulala's Cosmic Attack,,Art,THQ
Sonic Advance 3,,Dimps Corporation,THQ
Sigma Star Saga,,WayForward,Namco
Shrek: Reekin' Havoc,,TOSE,TDK Mediactive
Shrek: Hassle at the Castle,,TOSE,TDK Mediactive
"Shonen Jump's Shaman King: Legacy of the Spirits, Soaring Hawk",,KCEJ,Konami
Shining Soul II,,Nex Entertainment,Atlus
Serious Sam Advance,,Climax Studios,Global Star Software
Sega Rally Championship,,Dice,Sega
Sega Arcade Gallery,,Bits Studios,THQ
Sea Trader: Rise of Taipan,,Jaleco Entertainment,Jaleco Entertainment
Scooby-Doo! Unmasked (2005),,Artificial Mind and Movement,THQ
Scooby-Doo 2: Monsters Unleashed,,Altron,THQ
Scooby-Doo,,Helixe,THQ
Sabrina the Teenage Witch: Potion Commotion,,Ubisoft,Ubisoft
Sabre Wulf,,Rare Ltd.,THQ
Rock 'Em Sock 'Em Robots,,Full Fat,DSI Games
Robotech: The Macross Saga,,Lucky Chicken,TDK Mediactive
Robopon 2: Ring Version,,RED Entertainment,Atlus
Rave Master: Special Attack Force!,,KCEJ,Konami
Rampage: Puzzle Attack,,Ninai Games,Midway
R-Type III: The Third Lightning,,Raylight Studios,Destination Software
Punch King,,Full Fat,Acclaim
Power Rangers: Wild Force,,Natsume,THQ
Power Rangers: Ninja Storm (Game Boy Advance),,Natsume,THQ
Popeye: Rush for Spinach,,Magic Pockets,Namco
Pokemon Sapphire Version,,Game Freak,Nintendo
Pocky & Rocky with Becky,,Altron,Natsume
Planet of the Apes (2001),,Torus Games,Ubisoft
Planet Monsters,,Planet Interactive,Titus Software
Pitfall: The Lost Expedition (2004),,Torus Games,Activision
Pirates of the Caribbean: The Curse of the Black Pearl,,Pocket Studios,TDK Mediactive
Pinobee: Wings of Adventure,,Artoon,Activision
Phantasy Star Collection,,Digital Eclipse,THQ
Pac-Man Pinball Advance,,Human Soft,Namco
Ozzy & Drix,,Raylight Studios,Midway
Noddy: A Day in Toyland,,Lucky Jump,The Game Factory
Nicktoons: Freeze Frame Frenzy,,Altron,THQ
NBA Jam 2002,,DC Studios,Acclaim
Naruto: Ninja Council,,Arc System Works,D3Publisher
Muppet Pinball Mayhem,,Digital Eclipse,NewKidCo
Motocross Maniacs Advance,,Konami,Konami
Moto Racer Advance,,Adeline Software,Ubisoft
Mother 3,,Brownie Brown,Nintendo
Mortal Kombat: Tournament Edition,,Criterion Games,Midway
Monster Truck Madness,,Tantalus,THQ
Monster Force,,Digital Eclipse,Universal Interactive
Mobile Suit Gundam Seed: Battle Assault,,Natsume,Bandai
Mighty Beanz: Pocket Puzzles,,Radius9,Majesco
Midway's Greatest Arcade Hits,,Midway,Midway
Mega Man Zero,,Inti Creates,Capcom
Mech Platoon,,Will,Kemco
Masters of the Universe - He-Man: Power of Grayskull,,Taniko,TDK Mediactive
Mary-Kate and Ashley: Girls Night Out,,Powerhead Games,Acclaim
Lufia: The Ruins of Lore,,Taito Corporation,Atlus
Lizzie McGuire 3: Homecoming Havoc,,Climax Studios,Buena Vista Interactive
Lizzie McGuire 2: Lizzie Diaries,,Artificial Mind and Movement,Disney Interactive
Lemony Snicket's A Series of Unfortunate Events (2004),,Griptonite Games,Activision
Lego Knights' Kingdom,,Razorback Developments,THQ
Kong: The Animated Series,,Planet Interactive,Bam Entertainment
Kong: The 8th Wonder of the World,,Ubisoft,Ubisoft
Konami Krazy Racers,,KCEK,Konami
Konami Collector's Series: Arcade Advanced,,KCEA,Konami
Klonoa: Empire of Dreams,,Now Production,Namco
Karnaaj Rally,,Paragon 5,Jaleco Entertainment
KAO the Kangaroo (2001),,Titus Software,Titus Software
Justice League: Injustice for All,,Saffire,Midway
Justice League Heroes: The Flash,,WayForward,Warner Bros. Interactive Entertainment
Justice League: Chronicles,,Full Fat,Midway
Jurassic Park III: The DNA Factor,,Konami Computer Entertainment Hawaii,Konami
Jurassic Park III: Park Builder,,Konami,Konami
Jurassic Park III: Island Attack,,Mobile 21,Konami
Jackie Chan Adventures,,Torus Games,Activision
It's Mr Pants,,Rare Ltd.,THQ
Ice Age,,Artificial Mind and Movement,Ubisoft
Hugo: The Evil Mirror,,ITE Media,Namco
Hot Wheels: Burnin' Rubber,,Altron,THQ
Hot Potato! (2001),,Pukka Games,Bam Entertainment
Hi Hi Puffy AmiYumi: Kaznapped!,,Altron,D3Publisher
Gumby vs. the Astrobots,,Torus Games,Namco
GT Advance 3: Pro Concept Racing,,MTO,THQ
GT Advance 2: Rally Racing,,MTO,THQ
Gradius Galaxies,,Mobile 21,Konami
Godzilla: Domination!,,WayForward,Infogrames
Garfield and His Nine Lives,,Lucky Jump,The Game Factory
Game & Watch Gallery 4,,TOSE,Nintendo
Frogger's Journey: The Forgotten Relic,,Konami Computer Entertainment Hawaii,Konami
Frogger's Adventures: Temple of the Frog,,Konami Computer Entertainment Hawaii,Konami
Frogger Advance: The Great Quest,,Vicarious Visions,Konami
Fortress (2001),,Pipe Dream Interactive,Majesco
Fire Pro Wrestling 2,,Spike,Bam Entertainment
F-14 Tomcat,,Virtucraft,Majesco
ESPN Great Outdoor Games Bass 2002,,KCEO,Konami
ESPN Final Round Golf 2002,,Konami Computer Entertainment Nagoya,Konami
"Ed, Edd n Eddy: Jawbreakers!",,Climax Studios,Bam Entertainment
Dynasty Warriors Advance,,Koei,Nintendo
Dungeons & Dragons: Eye of the Beholder,,Pronto Games,Infogrames
Duel Masters: Sempai Legends,,Mistic Software,Atari SA
Duel Masters: Kaijudo Showdown,,Mistic Software,Atari SA
Dual Blades,,Vivid Image,Metro3D
DreamWorks Shrek the Third (2007),,Vicarious Visions,Activision
DreamWorks Shark Tale (2004),,Vicarious Visions,Activision
DreamWorks Over the Hedge: Hammy Goes Nuts (2006),,Vicarious Visions,Activision
DreamWorks Over the Hedge (2006),,Vicarious Visions,Activision
Nickelodeon Drake & Josh,,Artificial Mind and Movement,THQ
Dragon Ball Z: Collectible Card Game,,ImaginEngine,Infogrames
Dr. Sudoku,,Success,Mastiff
