title,score,developer,publisher
Rhapsody: A Musical Adventure,7.5,Nippon Ichi Software,NIS America
Orcs & Elves,7.5,Fountainhead Entertainment,Electronic Arts
Nanostray 2,7.5,Shin'en,Majesco
Mega Man Star Force 3: Black Ace,7.5,Capcom,Capcom
Final Fantasy Fables: Chocobo Tales,7.5,h.a.n.d. Inc.,Square Enix
Feel the Magic: XY/XX,7.5,Sonic Team,Sega
Dragon Quest Monsters: Joker,7.5,TOSE,Square Enix
Dragon Ball Z: Supersonic Warriors 2,7.5,Arc System Works,Atari SA
Cooking Mama 3: Shop & Chop,7.5,Office Create,Majesco
Bleach: The 3rd Phantom,7.5,Tom Create,Sega
Asphalt: Urban GT,7.5,Gameloft,Gameloft
Valkyrie Profile: Covenant of the Plume,7.4,Tri-Ace,Square Enix
Spectrobes: Beyond the Portals,7.4,Jupiter Corporation,Disney Interactive Studios
Sonic Chronicles: The Dark Brotherhood,7.4,BioWare,Sega
Moon (2009),7.4,Renegade Kid,Mastiff
Lost in Blue,7.4,Konami Computer Entertainment Hawaii,Konami
LEGO Battles,7.4,Hellbent Games,Warner Bros. Interactive Entertainment
Dinosaur King,7.4,Climax Entertainment,Sega
Digimon World: Dusk,7.4,Bec,Namco Bandai Games
Digimon World: Dawn,7.4,Bec,Namco Bandai Games
Custom Robo Arena,7.4,Noise Inc.,Nintendo
Bomberman Land Touch! 2,7.4,Hudson Soft,Hudson Entertainment
Big Brain Academy,7.4,Nintendo,Nintendo
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,7.3,Konami,Konami
Yoshi Touch & Go,7.3,Nintendo,Nintendo
Super Monkey Ball: Touch & Roll,7.3,Sega,Sega
Summon Night: Twin Age,7.3,Flight-Plan,Atlus
Pac-Pix,7.3,Namco,Namco
Glory Days 2,7.3,odenis studio,Eidos Interactive
Call of Duty: Modern Warfare - Mobilized,7.3,n-Space,Activision
Nostalgia (2009),7.2,Matrix Software,Ignition Entertainment
Guitar Hero: On Tour Decades,7.2,Vicarious Visions,Activision
Brothers In Arms DS,7.2,Gameloft,Ubisoft
Phantasy Star Zero,7.1,Sonic Team,Sega
Nanostray,7.1,Shin'en,Majesco
Magical Starsign,7.1,Brownie Brown,Nintendo
Guitar Hero: On Tour,7.1,Vicarious Visions,Activision
Glory of Heracles,7.1,Paon Corporation,Nintendo
DreamWorks Kung Fu Panda (2008),7.1,Vicarious Visions,Activision
Drawn to Life: SpongeBob SquarePants Edition,7.1,Altron,THQ
Photo Dojo,7.0,Nintendo,Nintendo
Nervous Brickdown,7.0,Arkedo Studio,Eidos Interactive
Mr. Driller: Drill Spirits,7.0,Namco,Namco
Monster Racers,7.0,Koei,UFO Interactive
Luminous Arc,7.0,Imageepoch,Atlus
Disney's Kim Possible: Global Gemini,7.0,Artificial Mind and Movement,Buena Vista Games
Beat City,7.0,Universomo,THQ
Atelier Annie: Alchemists of Sera Island,7.0,Gust,NIS America
Art Style: AQUIA,7.0,Skip Ltd.,Nintendo
100 Classic Books,7.0,Genius Sonority Inc.,Nintendo
SimCity DS,6.9,Aki Corp.,Electronic Arts
Pokemon Ranger,6.9,HAL Labs,Nintendo
Magician's Quest: Mysterious Times,6.9,Aquria,Konami
Time Hollow,6.8,Tenky,Konami
The Wizard of Oz: Beyond the Yellow Brick Road,6.8,Media.Vision,XSEED Games
Mega Man Battle Network 5: Double Team DS,6.8,Capcom,Capcom
Lost Magic,6.8,Taito Corporation,Ubisoft
Panzer Tactics DS,6.7,Sproing,Conspiracy Entertainment
CrossworDS,6.7,Nuevo Retro Games,Nintendo
