title,score,developer,publisher
007 Racing,5.1,Eutechnyx,Electronic Arts
Dragon Ball Z: Ultimate Battle 22,5.0,TOSE,Infogrames
E.T. Interplanetary Mission,5.0,Digital Eclipse,NewKidCo
World Destruction League: Thunder Tanks,3.5,3DO,3DO
V.I.P.,3.3,Ubisoft Shanghai,Ubisoft
KISS Pinball,2.6,Tarantula Studios,Take-Two Interactive
Action Bass,,Vingt-et-un Systems,Take-Two Interactive
All-Star Slammin' D-Ball,,Access,Agetec
Animorphs: Shattered Reality,,SingleTrac,Infogrames
"Army Men: World War - Land, Sea, Air",,3DO,3DO
Atari Anniversary Edition,,Digital Eclipse,Infogrames
ATV: Quad Power Racing,,Climax Studios,Acclaim
Ball Breakers,,Lost Toys,Take-Two Interactive
Barbie: Gotta Have Games,,Digital Illusions,VU Games
Bomberman Party Edition,,Metro,Vatical Entertainment
Capcom vs. SNK: Millennium Fight 2000 Pro,,Klein Computer Entertainment,Capcom
Championship Motocross 2001 Featuring Ricky Carmichael,,Funcom,THQ
Championship Surfer,,Krome Studios,Mattel
Crash Bandicoot,,Naughty Dog,SCEA
Crash Bandicoot 2: Cortex Strikes Back,,Naughty Dog,SCEA
Creatures,,Creature Labs,Conspiracy Entertainment
CTR: Crash Team Racing,,Naughty Dog,SCEA
Dance Dance Revolution Disney Mix,,Konami,Konami
Dance Dance Revolution Konamix,,Konami,Konami
Danger Girl,,n-Space,THQ
David Beckham Soccer,,Yoyo Entertainment,Majesco
Dexter's Laboratory: Mandark's Lab?,,Red Lemon Studios,Bam Entertainment
Disney's 102 Dalmatians: Puppies to the Rescue,,Crystal Dynamics,Eidos Interactive
Disney's Dinosaur,,Disney Interactive Studios,Ubisoft
Disney's The Emperor's New Groove,,Argonaut Games,SCEA
Dragon Quest VII: Fragments of the Forgotten Past,,ArtePiazza,Nintendo
Ducati World Racing Challenge,,Attention To Detail,Acclaim
ECW Anarchy Rulz,,Acclaim Studios Salt Lake City,Acclaim
Elemental Gearbolt,,Alfa System,Working Designs
ESPN MLS GameNight,,Saffire,Konami
F1 Championship Season 2000,,EA Sports,EA Sports
Final Fantasy Origins,,TOSE,Square Enix
Ford Racing,,"MotiveTime, Ltd.",Empire Interactive
Freestyle Motocross: McGrath Vs. Pastrana,,"Z-Axis, Ltd.",Acclaim
Gold and Glory: The Road to El Dorado,,Revolution Software,Ubisoft
Gundam: Battle Assault,,Natsume,Bandai
Gunfighter: The Legend of Jesse James,,Rebellion,Ubisoft
Harry Potter and the Chamber of Secrets,,Electronic Arts,EA Games
HBO Boxing,,Osiris Studios,Acclaim
High Heat Major League Baseball 2002,,3DO,3DO
