title,score,developer,publisher
Earthworm Jim,7.2,Game Titan,Majesco
Mega Man Battle Network 6: Cybeast Gregar,7.2,Capcom,Capcom
Shrek 2 (2004),7.2,Vicarious Visions,Activision
Spyro: Attack of the Rhynocs,7.2,Digital Eclipse,Universal Interactive
Super Robot Taisen: Original Generation,7.2,Banpresto,Atlus
Yu-Gi-Oh! World Championship Tournament 2004,7.2,KCEJ,Konami
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,7.2,KCEJ,Konami
DreamWorks Madagascar (Game Boy Advance),7.1,Vicarious Visions,Activision
Harry Potter and the Goblet of Fire,7.1,Electronic Arts,Electronic Arts
Pac-Man,7.1,Namco Bandai Games,Namco Bandai Games
Secret Agent Barbie: Royal Jewels Mission,7.1,Digital Illusions,VU Games
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,7.1,TOSE,Buena Vista Interactive
Wolfenstein 3D,7.1,Nerve Software,Activision
X-Men: Reign of Apocalypse,7.1,Digital Eclipse,Activision
Yu-Gi-Oh! The Sacred Cards,7.1,Konami,Konami
Medabots AX: Metabee Ver.,7.0,Natsume,Natsume
Pirates of the Caribbean: Dead Man's Chest,7.0,Griptonite Games,Buena Vista Games
American Bass Challenge,6.9,Starfish,Ubisoft
Dragon Ball GT: Transformation,6.9,Webfoot Technologies,Atari SA
Mega Man Battle Network 5: Team Colonel,6.9,Capcom,Capcom
Banjo-Pilot,6.8,Rare Ltd.,THQ
Grand Theft Auto (Game Boy Advance),6.8,Digital Eclipse,Rockstar Games
Jazz Jackrabbit,6.8,Game Titan,Jaleco Entertainment
Mega Man Battle Network 4: Red Sun,6.8,Capcom,Capcom
Crash Bandicoot Purple: Ripto's Rampage,6.7,Vicarious Visions,VU Games
Guilty Gear X Advance Edition,6.7,Arc System Works,Sammy Studios
Mega Man Battle Network 4: Blue Moon,6.7,Capcom,Capcom
Mega Man Battle Network 5: Team Protoman,6.7,Capcom,Capcom
Mega Man Battle Network 6: Cybeast Falzar,6.7,Capcom,Capcom
The Hobbit: The Prelude to the Lord of the Rings,6.7,Inevitable Entertainment,Sierra Entertainment
007: NightFire,6.6,Eurocom,Electronic Arts
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",6.6,Traveller's Tales,Buena Vista Games
Naruto: Ninja Council 2,6.5,Aspect,D3Publisher
Shrek Swamp Kart Speedway,6.4,Prolific,TDK Mediactive
Digimon Battle Spirit 2,6.3,Dimps Corporation,Bandai
Samurai Jack: The Amulet of Time,6.3,Virtucraft,Bam Entertainment
Ty the Tasmanian Tiger 2: Bush Rescue,6.3,Krome Studios,EA Games
Yu Yu Hakusho - Ghost Files: Spirit Detective,6.3,Sensory Sweep,Atari SA
Digimon Racing,6.2,Griptonite Games,Bandai
Disney's Kim Possible: Revenge of Monkey Fist,6.2,Digital Eclipse,Disney Interactive
Dragon Ball Z: The Legacy of Goku,6.2,Webfoot Technologies,Infogrames
Mario Pinball Land,6.2,Fuse Games Limited,Nintendo
Need for Speed: Porsche Unleashed,6.2,Eden Studios,Electronic Arts
Rayman: Hoodlum's Revenge,6.1,Backbone Entertainment,Ubisoft
Yu-Gi-Oh! Reshef of Destruction,6.1,Konami,Konami
Sega Smash Pack,6.0,CodeFire,THQ
Spyro Orange: The Cortex Conspiracy,6.0,Vicarious Visions,VU Games
Star Wars: The New Droid Army,6.0,Helixe,THQ
Star Wars: Jedi Power Battles,5.8,HotGen,THQ
Earthworm Jim 2,5.7,Super Empire,Majesco
Smuggler's Run,5.7,Angel Studios,Rockstar Games
Disney/Pixar The Incredibles,5.5,Heavy Iron Studios,THQ
Mega Man: Battle Chip Challenge,5.5,Capcom,Capcom
The Adventures of Jimmy Neutron vs. Jimmy Negatron,5.5,Human Soft,THQ
Mario Party Advance,5.4,AI,Nintendo
E.T. The Extra-Terrestrial,5.3,Fluid Studios,NewKidCo
The Legend of Spyro: A New Beginning (2006),5.3,Krome Studios,Sierra Entertainment
The Lord of the Rings: The Fellowship of the Ring,5.1,WXP,Black Label Games
Disney/Pixar Cars,5.0,Rainbow Studios,THQ
Dragon Ball Z: Taiketsu,4.9,Webfoot Technologies,Atari SA
Looney Tunes: Back in Action (2003),4.7,Warthog,Electronic Arts
Medal of Honor Underground,4.6,Dreamworks Interactive,Electronic Arts
Oddworld: Munch's Oddysee,4.4,Oddworld Inhabitants,Microsoft Game Studios
That's So Raven,3.9,Vicarious Visions,Buena Vista Interactive
Star Wars Episode II: Attack of the Clones,3.8,David A. Palmer Productions,THQ
Mortal Kombat Advance,3.3,Virtucraft,Midway
Sonic the Hedgehog,3.3,Backbone Entertainment,Sega
Mucha Lucha! Mascaritas of the Lost Code,2.6,Digital Eclipse,Ubisoft
Thunder Alley (2004),2.3,Pronto Games,XS Games
