title,score,developer,publisher
Project X Zone,7.4,Monolith Soft,Namco Bandai Games
Project X Zone 2,7.4,Monolith Soft,Bandai Namco Games
Sakura Samurai: Art of the Sword,7.4,Grounding Inc.,Nintendo
Shin Megami Tensei: Devil Summoner - Soul Hackers,7.4,Atlus,Atlus
Tetris Axis,7.4,Hudson Soft,Nintendo
Thunder Blade,7.4,M2,Sega
Toy Stunt Bike,7.4,Wobbly Tooth Ltd,Wobbly Tooth Ltd
Ultimate NES Remix,7.4,indieszero,Nintendo
80's Overdrive,7.3,Insane Code,Insane Code
1001 Spikes,7.3,Nicalis,Nicalis
Aero Porter,7.3,Vivarium,Level 5
Bike Rider DX,7.3,Lireneosoft,Spicysoft Corp.
Castlevania: Lords of Shadow - Mirror of Fate,7.3,Mercury Steam,Konami
Chicken Wiggle,7.3,Atooi LLC,Atooi LLC
Disney Magical World 2,7.3,h.a.n.d. Inc.,Nintendo
"Freakyforms Deluxe: Your Creations, Alive!",7.3,Asobism,Nintendo
Heroes of Ruin,7.3,n-Space,Square Enix
LEGO The Lord of the Rings,7.3,TT Games,Warner Bros. Interactive Entertainment
Michael Jackson The Experience,7.3,Ubisoft Montpellier,Ubisoft
Picross e2,7.3,Jupiter Corporation,Jupiter Corporation
Pokemon Battle Trozei,7.3,Genius Sonority Inc.,Nintendo
Pro Evolution Soccer 2011,7.3,Konami,Konami
Shinobi (2011),7.3,Griptonite Games,Sega
Super Mario Maker,7.3,Nintendo,Nintendo
Terraria,7.3,Engine Software,505 Games
The Legend of Zelda: Tri Force Heroes,7.3,Nintendo,Nintendo
Witch & Hero,7.3,FK Digital,CIRCLE Entertainment
Xeodrifter,7.3,Renegade Kid,Renegade Kid
Yo-kai Watch Blasters: Red Cat Corps,7.3,Level 5,Nintendo
Yo-kai Watch Blasters: White Dog Squad,7.3,Level 5,Nintendo
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,7.2,WayForward,D3Publisher
Brain Age: Concentration Training,7.2,Nintendo,Nintendo
Disney Art Academy,7.2,Headstrong Games,Nintendo
Kirby's Blowout Blast,7.2,HAL Labs,Nintendo
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,7.2,h.a.n.d. Inc.,Level 5
LEGO Batman 2: DC Super Heroes,7.2,TT Games,Warner Bros. Interactive Entertainment
Mario Sports Superstars,7.2,Camelot Software Planning,Nintendo
Mario vs. Donkey Kong: Tipping Stars,7.2,Nintendo Software Technology,Nintendo
Mighty Gunvolt,7.2,Inti Creates,Inti Creates
Nintendogs + Cats: French Bulldog & New Friends,7.2,Nintendo,Nintendo
Nintendogs + Cats: Golden Retriever & New Friends,7.2,Nintendo,Nintendo
Pilotwings Resort,7.2,Monster Games Inc.,Nintendo
Return to PoPoLoCrois: A Story of Seasons Fairytale,7.2,Marvelous Inc.,XSEED Games
River City: Tokyo Rumble,7.2,Aplus,Natsume
Samurai Warriors Chronicles 3,7.2,Omega Force,Koei Tecmo Games
Sonic Boom: Fire & Ice,7.2,Sanzaru Games,Sega
Steel Empire,7.2,Mebius,Teyon
The Sims 3: Pets (2011),7.2,The Sims Studio,Electronic Arts
Transformers Prime: The Game,7.2,Now Production,Activision
Ikachan,7.1,Nicalis,Nicalis
Kirby Battle Royale,7.1,HAL Labs,Nintendo
LEGO Harry Potter: Years 5-7,7.1,Traveller's Tales,Warner Bros. Interactive Entertainment
LEGO Pirates of the Caribbean: The Video Game,7.1,Traveller's Tales,Disney Interactive Studios
Naruto Powerful Shippuden,7.1,Inti Creates,Namco Bandai Games
One Piece: Unlimited Cruise SP 2,7.1,Bandai Namco Games,Namco Bandai Games
Rayman Origins,7.1,UBlart Montpellier,Ubisoft
Senran Kagura Burst,7.1,Tamsoft,XSEED Games
Chase: Cold Case Investigations - Distant Memories,7.0,Arc System Works,Aksys Games
Dillon's Rolling Western: The Last Ranger,7.0,Vanpool,Nintendo
LEGO Marvel's Avengers,7.0,TT Games,Warner Bros. Interactive Entertainment
Moon Chronicles: Episode 1,7.0,Renegade Kid,Renegade Kid
The Legend of Legacy,7.0,Cattle Call,Atlus
Adventure Bar Story,6.9,RideonJapan,RideonJapan
Animal Crossing: Happy Home Designer,6.9,Nintendo,Nintendo
Dragon Ball Z: Extreme Butoden,6.9,Arc System Works,Bandai Namco Games
Hey! Pikmin,6.9,Arzest,Nintendo
Mario Party: Star Rush,6.9,Nd Cube,Nintendo
Pokedex 3D,6.9,Creatures Inc.,Nintendo
The Starship Damrey,6.9,Level 5,Level 5
F1 2011,6.8,Codemasters,Codemasters
Farming Simulator 18,6.8,Giants Software,Focus Home Interactive
FIFA Soccer 13,6.8,Electronic Arts,EA Sports
Gravity Falls: Legend of the Gnome Gemulets,6.8,Ubisoft Osaka,Ubisoft
Mario & Sonic at the Rio 2016 Olympic Games,6.8,Sega Sports R&D,Nintendo
Need for Speed: The Run,6.8,EA Black Box,Electronic Arts
One Piece: Unlimited Cruise SP,6.8,Bandai Namco Games,Bandai Namco Games
Pokemon Rumble Blast,6.8,Ambrella,Nintendo
