title,score,developer,publisher,rom_name,size
NHL 2004,8.5,EA Black Box,EA Sports,NHL 2004 (USA).iso,7825162240
Oddworld: Munch's Oddysee,8.5,Oddworld Inhabitants,Microsoft Game Studios,Oddworld - Munch's Oddysee (USA).iso,7825162240
Prince of Persia: The Two Thrones,8.5,Ubisoft,Ubisoft,"Prince of Persia - The Two Thrones (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Project Gotham Racing,8.5,Bizarre Creations,Microsoft Game Studios,Project Gotham Racing (USA).iso,7825162240
Return to Castle Wolfenstein,8.5,Nerve Software,Activision,Return to Castle Wolfenstein - Tides of War (World).iso,7825162240
Sonic Riders,8.5,Sonic Team,Sega,"Sonic Riders (USA) (En,Ja,Fr,De,Es,It).iso",7825162240
Stubbs the Zombie in Rebel Without a Pulse,8.5,Wideload Games Inc.,Aspyr,Stubbs the Zombie in Rebel Without a Pulse (USA).iso,7825162240
The Warriors,8.5,Rockstar Toronto,Rockstar Games,"Warriors, The (USA).iso",7825162240
Tony Hawk's Underground,8.5,Neversoft Entertainment,Activision,Tony Hawk's Underground (USA).iso,7825162240
Urban Chaos: Riot Response,8.5,Rocksteady Studios,Eidos Interactive,"Urban Chaos - Riot Response (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Colin McRae Rally 04,8.4,Codemasters,Codemasters,Colin McRae Rally 3 (USA).iso,7825162240
Def Jam: Fight for NY,8.4,Aki Corp.,EA Games,Def Jam - Fight for NY (USA).iso,7825162240
Destroy All Humans! (2005),8.4,Pandemic Studios,THQ,"Destroy All Humans! 2 (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Deus Ex: Invisible War,8.4,Ion Storm,Eidos Interactive,Deus Ex - Invisible War (USA).iso,7825162240
Dreamfall: The Longest Journey,8.4,Funcom,Aspyr,Dreamfall - The Longest Journey (USA).iso,7825162240
Fatal Frame II: Crimson Butterfly - Director's Cut,8.4,Tecmo,Tecmo,Fatal Frame II - Crimson Butterfly - Director's Cut (USA).iso,7825162240
Full Spectrum Warrior,8.4,Pandemic Studios,THQ,Full Spectrum Warrior (USA).iso,7825162240
Hitman 2: Silent Assassin,8.4,Io Interactive,Eidos Interactive,Hitman 2 - Silent Assassin (USA) (Rev 2).iso,7825162240
Hitman: Contracts,8.4,Io Interactive,Eidos Interactive,Hitman - Contracts (USA).iso,7825162240
Indigo Prophecy,8.4,Quantic Dream,Atari SA,Indigo Prophecy (USA).iso,7825162240
007: NightFire,8.4,Eurocom,Electronic Arts,007 - Nightfire (USA).iso,7825162240
Mafia,8.4,Illusion Softworks,Gathering,Mafia (USA).iso,7825162240
NBA 2K6,8.4,Visual Concepts,2K Sports,NBA 2K6 (USA).iso,7825162240
Need for Speed: Underground 2,8.4,EA Canada,Electronic Arts,Need for Speed - Underground 2 (USA).iso,7825162240
Prince of Persia: Warrior Within,8.4,Ubisoft Montreal,Ubisoft,"Prince of Persia - Warrior Within (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Psi-Ops: The Mindgate Conspiracy,8.4,Midway,Midway,Psi-Ops - The Mindgate Conspiracy (USA) (Beta) (2004-03-07).iso,268951552
Rayman 3: Hoodlum Havoc,8.4,Ubisoft Shanghai,Ubisoft,"Rayman 3 - Hoodlum Havoc (USA) (En,Fr,De,Es,It).iso",7825162240
Spartan: Total Warrior,8.4,Creative Assembly,Sega,Spartan - Total Warrior (USA) (Beta).iso,3919413248
SpongeBob SquarePants: Battle for Bikini Bottom,8.4,Heavy Iron Studios,THQ,Nickelodeon SpongeBob SquarePants - Battle for Bikini Bottom (USA).iso,7825162240
Star Wars: Republic Commando,8.4,LucasArts,LucasArts,Star Wars - Republic Commando (USA).iso,7825162240
The Incredible Hulk: Ultimate Destruction,8.4,Radical Entertainment,VU Games,"Incredible Hulk, The - Ultimate Destruction (USA, Asia).iso",7825162240
The Lord of the Rings: The Return of the King,8.4,EA Games,EA Games,"Lord of the Rings, The - The Return of the King (USA).iso",7825162240
Tom Clancy's Ghost Recon,8.4,Red Storm Entertainment,Ubisoft,Tom Clancy's Ghost Recon (USA).iso,7825162240
True Crime: Streets of LA,8.4,"Luxoflux, Inc.",Activision,True Crime - Streets of LA (Japan).iso,7825162240
X-Men Legends II: Rise of Apocalypse,8.4,Raven Software,Activision,"X-Men Legends II - Rise of Apocalypse (USA, Europe).iso",7825162240
Baldur's Gate: Dark Alliance,8.3,Snowblind Studios,Interplay,Baldur's Gate - Dark Alliance II (USA) (Beta).iso,3919413248
Call of Duty 3,8.3,Treyarch,Activision,"Call of Duty 3 (USA, Europe).iso",7825162240
Conker: Live & Reloaded,8.3,Rare Ltd.,Microsoft Game Studios,"Conker - Live & Reloaded (USA) (En,Ja,Fr,De,Es,It).iso",7825162240
Crazy Taxi 3: High Roller,8.3,Hitmaker,Sega,Crazy Taxi 3 - High Roller (USA).iso,7825162240
Fight Night Round 3,8.3,EA Chicago,EA Sports,Fight Night Round 3 (USA).iso,7825162240
Grabbed by the Ghoulies,8.3,Rare Ltd.,Microsoft Game Studios,"Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It).iso",7825162240
Kingdom Under Fire: The Crusaders,8.3,Phantagram,Microsoft Game Studios,Kingdom Under Fire - The Crusaders (Japan).iso,7825162240
