title,score,developer,publisher,rom_name,size
Age of Empires: The Age of Kings,8.0,Backbone Entertainment,Majesco,Age of Empires - The Age of Kings (USA).nds,67108864
Trauma Center: Under the Knife 2,7.9,Vanguard,Atlus,Trauma Center - Under the Knife 2 (USA).nds,67108864
The New York Times Crosswords,7.9,BudCat,Majesco,"New York Times Crosswords, The - Multiplayer (USA) (DS Broadcast).nds",676488
Shin Megami Tensei: Devil Survivor 2,7.9,Atlus,Atlus,Shin Megami Tensei - Devil Survivor 2 (USA).nds,134217728
Scribblenauts,7.9,5TH Cell,Warner Bros. Interactive Entertainment,"Super Scribblenauts (USA) (En,Fr,Es,Pt).nds",33554432
Metroid Prime Pinball,7.9,Fuse Games Limited,Nintendo,"Metroid Prime Pinball (Europe) (En,Fr,De,Es,It).nds",33554432
Mario vs. Donkey Kong: Mini-Land Mayhem,7.9,Nintendo Software Technology,Nintendo,"Mario vs. Donkey Kong - Mini-Land Mayhem! (USA) (En,Fr,Es) (Rev 2) (NDSi Enhanced).nds",33554432
Golden Sun: Dark Dawn,7.9,Camelot Software Planning,Nintendo,Golden Sun - Dark Dawn (USA) (Video).nds,2575048
Soul of Darkness,7.8,Gameloft,Gameloft,"Moorhuhn - Jewel of Darkness (Europe) (En,Fr,De).nds",8388608
Soul Bubbles,7.8,Mekensleep,Eidos Interactive,"Soul Bubbles (USA) (En,Fr,De,Es,It).nds",33554432
Sonic Rush Adventure,7.8,Dimps Corporation,Sega,"Sonic Rush Adventure (USA) (En,Ja,Fr,De,Es,It).nds",67108864
Rune Factory: A Fantasy Harvest Moon,7.8,Neverland,Natsume,Rune Factory 3 - A Fantasy Harvest Moon (USA).nds,134217728
Robocalypse,7.8,Vogster,Tecmo,Robocalypse (USA).nds,67108864
Mega Man ZX Advent,7.8,Inti Creates,Capcom,Mega Man ZX - Advent (USA).nds,67108864
Mega Man Zero Collection,7.8,Inti Creates,Capcom,Mega Man Zero Collection (USA).nds,67108864
Hotel Dusk: Room 215,7.8,Cing,Nintendo,Hotel Dusk - Room 215 (USA) (Video).nds,2611400
Dragon Ball: Origins,7.8,Game Republic,Atari SA,"Dragon Ball - Origins 2 (USA) (En,Fr,Es) (Beta 4).nds",67108864
Chronicles of Mystery: The Secret Tree of Life,7.8,City Interactive,City Interactive,"Chronicles of Mystery - The Secret Tree of Life (USA) (En,Fr,Es) (NDSi Enhanced).nds",67108864
Chibi-Robo! Park Patrol,7.8,Skip Ltd.,Nintendo,Chibi-Robo! - Park Patrol (USA).nds,67108864
Bomberman Land Touch!,7.8,Hudson,Atlus,Bomberman Land Touch! 2 (USA).nds,33554432
Big Bang Mini,7.8,Arkedo Studio,SouthPeak Games,"Big Bang Mini (USA) (En,Fr,De,Es,It).nds",16777216
AlphaBounce,7.8,Mad Monkey Studio,Motion Twin,,
Age of Empires: Mythologies,7.8,Griptonite Games,THQ,"Age of Empires - Mythologies (USA) (En,Fr).nds",134217728
WordJong,7.7,Magellan Interactive,Destineer,WordJong (USA).nds,8388608
Trajectile,7.7,Q-Games,Nintendo,,
TrackMania Turbo (2011),7.7,Firebrand Games,City Interactive,"TrackMania Turbo (USA) (En,Fr,Es).nds",67108864
Rune Factory 3: A Fantasy Harvest Moon,7.7,Neverland,Natsume,Rune Factory 3 - A Fantasy Harvest Moon (USA).nds,134217728
Rune Factory 2: A Fantasy Harvest Moon,7.7,Neverland,Natsume,Rune Factory 3 - A Fantasy Harvest Moon (USA).nds,134217728
Retro Game Challenge,7.7,indieszero,XSEED Games,Retro Game Challenge (USA).nds,33554432
Pop Island,7.7,odenis studio,odenis studio,Pogo Island (USA).nds,33554432
Number Battle,7.7,Nintendo,Nintendo,,
Harvest Moon DS: Sunshine Islands,7.7,Marvelous Entertainment,Natsume,Harvest Moon DS - Sunshine Islands (USA).nds,67108864
Final Fantasy Crystal Chronicles: Ring of Fates,7.7,Square Enix,Square Enix,"Final Fantasy Crystal Chronicles - Ring of Fates (USA) (En,Es).nds",134217728
Etrian Odyssey III: The Drowned City,7.7,Atlus,Atlus,Etrian Odyssey III - The Drowned City (USA).nds,67108864
Dragon Quest Monsters: Joker 2,7.7,TOSE,Nintendo,"Dragon Quest Monsters - Joker 2 (USA) (En,Fr,De,Es,It).nds",134217728
DodoGo!,7.7,Alien After All,Neko Entertainment,,
DK: Jungle Climber,7.7,Paon Corporation,Nintendo,DK - Jungle Climber (USA) (Wii U Virtual Console).nds,67108864
Brain Age: Train Your Brain in Minutes a Day!,7.7,Nintendo,Nintendo,Brain Age - Train Your Brain in Minutes a Day! (USA) (Rev 1) (Wii U Virtual Console).nds,16777216
Brain Age 2: More Training in Minutes a Day,7.7,Nintendo,Nintendo,"Brain Age 2 - More Training in Minutes a Day! (USA) (En,Fr,Es).nds",33554432
Art Style: BASE 10,7.7,Skip Ltd.,Nintendo,Art Style - ZENGAGE (USA).nds,8754176
Yu-Gi-Oh! World Championship 2007,7.6,Konami,Konami,"Yu-Gi-Oh! - World Championship 2008 (USA) (En,Ja).nds",134217728
TouchMaster 2,7.6,Midway Studios - San Diego,Midway,"TouchMaster 3 (USA) (En,Fr).nds",67108864
Suikoden Tierkreis,7.6,Konami,Konami,"Suikoden - Tierkreis (USA) (En,Fr,Es).nds",268435456
Star Fox Command,7.6,Q-Games,Nintendo,Star Fox Command (USA) (Wii U Virtual Console).nds,33554432
Solatorobo: Red the Hunter,7.6,CyberConnect2,XSEED Games,"Solatorobo - Red the Hunter (USA) (En,Fr,De,Es,It) (NDSi Enhanced).nds",67108864
Race Driver: Create & Race,7.6,Firebrand Games,Codemasters,"Race Driver - Create & Race (USA) (En,Fr,De,Es,It).nds",67108864
Mega Man ZX,7.6,Inti Creates,Capcom,Mega Man ZX (USA).nds,67108864
Mechanic Master,7.6,Most Wanted Entertainment,Midway,Mechanic Master 2 (USA).nds,16777216
Mario vs. Donkey Kong 2: March of the Minis,7.6,Nintendo Software Technology,Nintendo,Mario vs. Donkey Kong 2 - March of the Minis (USA) (Wii U Virtual Console).nds,67108864
Konami Classics Series: Arcade Hits,7.6,M2,Konami,"Konami Classics Series - Arcade Hits (USA) (En,Ja).nds",16777216
Kirby Super Star Ultra,7.6,HAL Labs,Nintendo,Kirby Super Star Ultra (USA) (Video).nds,2001096
Flametail,7.6,Mindware,Nintendo,Planetaria (Japan) (Nintendo Game Seminar 2010).bin,953876
Dr. Mario Express,7.6,Arika,Nintendo,Dr. Mario Express (USA) (Rev 1).nds,3900416
Chronos Twins,7.6,EnjoyUp Games,EnjoyUp Games,"Chronos Twin (Europe) (En,Fr,De,Es,It).nds",8388608
Aliens: Infestation,7.6,WayForward,Sega,"Aliens - Infestation (USA) (En,Fr,De).nds",33554432
AiRace,7.6,NoWay Studio,QubicGames,,
Zubo,7.5,EA Bright Light,Electronic Arts,"Zubo (USA) (En,Fr,Es).nds",67108864
TrackMania DS,7.5,Firebrand Games,Atlus,"TrackMania DS (Europe) (En,Fr,De,Es,It).nds",33554432
The Legendary Starfy,7.5,TOSE,Nintendo,"Legendary Starfy, The - Minigames (USA) (Multiplayer) (DS Broadcast).nds",516264
Super Princess Peach,7.5,TOSE,Nintendo,"Super Princess Peach (Europe) (En,Fr,De,Es,It).nds",33554432
Nanostray 2,7.5,Shin'en,Majesco,Nanostray 2 (USA).nds,33554432
Kingdom Hearts 358/2 Days,7.5,h.a.n.d. Inc.,Square Enix,Kingdom Hearts - 358-2 Days (USA) (Video).nds,2131144
Infinite Space,7.5,PlatinumGames,Sega,Infinite Space (USA).nds,268435456
Final Fantasy Fables: Chocobo Tales,7.5,h.a.n.d. Inc.,Square Enix,Final Fantasy Fables - Chocobo Tales - Bonus Content (USA) (Save Data).nds,893128
Feel the Magic: XY/XX,7.5,Sonic Team,Sega,"Feel the Magic - XY-XX (USA) (En,Ja).nds",33554432
Etrian Odyssey,7.5,Atlus,Atlus,Etrian Odyssey (USA).nds,16777216
Elebits: The Adventures of Kai and Zero,7.5,Konami,Konami,"Elebits - The Adventures of Kai and Zero (USA) (En,Fr) (Beta).nds",67108864
Dragon Quest Monsters: Joker,7.5,TOSE,Square Enix,"Dragon Quest Monsters - Joker 2 (USA) (En,Fr,De,Es,It).nds",134217728
Bomberman (2005),7.5,Racjin,Ubisoft,"Bomberman 2 (Europe) (En,Fr,De,Es,It).nds",33554432
Art Academy,7.5,Headstrong Games,Nintendo,"Art Academy (USA) (En,Fr,Es) (NDSi Enhanced).nds",33554432
Zoonies - Escape From Makatu,7.4,Kiloo,Kiloo,,
Zoo Keeper,7.4,"Buddiez, Inc.",Ignition Entertainment,Zoo Keeper (USA).nds,8388608
Valkyrie Profile: Covenant of the Plume,7.4,Tri-Ace,Square Enix,Valkyrie Profile - Covenant of the Plume (USA).nds,134217728
Tetris Party Live,7.4,Hudson Soft,"Tetris Online, Inc",Tetris Party Premium (Japan).nds,33554432
Spin Six,7.4,Zener Works,Nintendo,,
Sonic Chronicles: The Dark Brotherhood,7.4,BioWare,Sega,"Sonic Chronicles - The Dark Brotherhood (USA) (En,Fr,De,Es,It).nds",134217728
Primrose,7.4,Sabarasa Entertainment,Sabarasa Entertainment,,
Pokemon Trozei!,7.4,Genius Sonority Inc.,Nintendo,Pokemon Trozei! (USA).nds,16777216
Pinball Pulse: The Ancients Beckon,7.4,Fuse Games Limited,Nintendo,,
Meteos: Disney Magic,7.4,Q Entertainment,Buena Vista Games,Meteos - Disney Magic (USA).nds,33554432
Inazuma Eleven 2: Firestorm,7.4,Level 5,Level 5,Inazuma Eleven 2 - Firestorm (Europe).nds,268435456
Inazuma Eleven 2: Blizzard,7.4,Level 5,Level 5,Inazuma Eleven 2 - Blizzard (Europe).nds,268435456
Drone Tactics,7.4,Success,Atlus,Drone Tactics (USA).nds,67108864
Custom Robo Arena,7.4,Noise Inc.,Nintendo,Custom Robo Arena (USA).nds,67108864
Bomberman Land Touch! 2,7.4,Hudson Soft,Hudson Entertainment,Bomberman Land Touch! 2 (USA).nds,33554432
Big Brain Academy,7.4,Nintendo,Nintendo,"Big Brain Academy (USA, Australia).nds",8388608
99Bullets,7.4,EnjoyUp Games,EnjoyUp Games,Last Bullet (Japan).nds,134217728
Yu-Gi-Oh! Nightmare Troubadour,7.3,Konami,Konami,Yu-Gi-Oh! - Nightmare Troubadour (USA).nds,67108864
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,7.3,Konami,Konami,"Yu-Gi-Oh! 5D's - Stardust Accelerator - World Championship 2009 (USA) (En,Ja,Fr,De,Es,It).nds",268435456
Yoshi Touch & Go,7.3,Nintendo,Nintendo,"Yoshi Touch & Go (USA, Australia).nds",16777216
Viking Invasion,7.3,BiP Media,BiP Media,Vecinos Invasores (Spain).nds,33554432
Viewtiful Joe: Double Trouble!,7.3,Clover Studio,Capcom,Viewtiful Joe - Double Trouble! (USA).nds,67108864
Ultimate Mortal Kombat,7.3,Other Ocean Interactive,Midway,"Ultimate Mortal Kombat (USA) (En,Fr,De,Es,It).nds",67108864
Super Robot Taisen OG Saga: Endless Frontier,7.3,Monolith Soft,Atlus,Super Robot Taisen OG Saga - Endless Frontier (USA).nds,134217728
Summon Night: Twin Age,7.3,Flight-Plan,Atlus,Summon Night - Twin Age (USA).nds,134217728
Style Savvy,7.3,syn Sophia,Nintendo,Style Savvy (USA) (Wii U Virtual Console).nds,134217728
Spider-Man: Shattered Dimensions (2010),7.3,Griptonite Games,Activision,"Spider-Man - Shattered Dimensions (USA) (En,Fr).nds",67108864
Puchi Puchi Virus,7.3,Keys Factory,NIS America,Puchi Puchi Virus (USA).nds,8388608
New International Track & Field,7.3,Sumo Digital,Konami,"New International Track & Field (USA) (En,Fr,De,Es,It).nds",67108864
Mr. Driller: Drill till you Drop,7.3,Namco Bandai Games,Namco Bandai Games,Mr. Driller - Drill Spirits (USA).nds,16777216
Moto Racer DS,7.3,Artefacts Studio,SouthPeak Games,"Moto Racer DS (USA) (En,Fr,Es).nds",33554432
Luminous Arc 2,7.3,Imageepoch,Atlus,Luminous Arc 2 (USA).nds,134217728
Link 'n' Launch,7.3,Intelligent Systems,Nintendo,,
Glory Days 2,7.3,odenis studio,Eidos Interactive,"Glory Days 2 (USA) (En,Fr,Es).nds",16777216
Drift Street International,7.3,Tantalus,Tantalus,Cars - Hook International (Germany).nds,33554432
Dragon Ball Z: Attack of the Saiyans,7.3,Monolith Soft,Namco Bandai Games,"Dragon Ball Z - Attack of the Saiyans (USA) (En,Fr) (Beta).nds",134217728
Contact (2006),7.3,Grasshopper Manufacture,Atlus,Contact (USA).nds,67108864
Call of Duty: Modern Warfare - Mobilized,7.3,n-Space,Activision,Call of Duty - Modern Warfare - Mobilized (USA) (Rev 1) (Video).nds,2566792
Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia,7.2,Konami,Konami,"Yu-Gi-Oh! 5D's - World Championship 2010 - Reverse of Arcadia (USA) (En,Ja,Fr,De,Es,It).nds",268435456
Pop Cutie! Street Fashion Simulation,7.2,Koei,Koei,Pop Cutie! - Street Fashion Simulation (USA).nds,67108864
Pac 'n Roll,7.2,Namco,Namco,Pac'n Roll (USA).nds,33554432
Nostalgia (2009),7.2,Matrix Software,Ignition Entertainment,Nostalgia (USA).nds,134217728
Mario Party DS,7.2,Hudson Soft,Nintendo,Mario Party DS (USA) (Video).nds,2268360
Jam Sessions,7.2,Plato,Ubisoft,"Jam Sessions 2 (USA) (En,Fr,Es) (NDSi Enhanced).nds",67108864
Jake Hunter: Memories of the Past,7.2,WorkJam,Aksys Games,Jake Hunter Detective Story - Memories of the Past (USA).nds,67108864
Guitar Hero: On Tour Decades,7.2,Vicarious Visions,Activision,"Guitar Hero - On Tour - Modern Hits (USA) (En,Fr).nds",134217728
Go! Go! Kokopolo,7.2,Tanukii Studios,Room 4 Games Limited,Go! Go! Kokopolo (USA).nds,16701440
DodoGo! Robo,7.2,Alien After All,Neko Entertainment,,
Dementium: The Ward,7.2,Renegade Kid,Gamecock Media Group,Dementium - The Ward (USA) (Beta 2).nds,52105239
Brothers In Arms DS,7.2,Gameloft,Ubisoft,"Brothers in Arms DS (USA) (En,Fr,Es).nds",33554432
Brain Buster: Puzzle Pak,7.2,Suzak,Agetec,Brain Buster - Puzzle Pak (USA).nds,8388608
Boing! Docomodake DS,7.2,Suzak,Ignition Entertainment,"Boing! Docomodake DS (USA) (En,Fr,De,Es,It).nds",16777216
AiRace: Tunnel,7.2,NoWay Studio,QubicGames,,
TouchMaster,7.1,Midway Studios - San Diego,Midway,"TouchMaster 3 (USA) (En,Fr).nds",67108864
SteamWorld Tower Defense,7.1,Image & Form,Image & Form,Desktop Tower Defense (USA).nds,8388608
Space Bust-A-Move,7.1,Taito Corporation,Square Enix,Space Bust-a-Move (USA) (It) (Multiplayer) (DS Broadcast).bcn,856
Resident Evil: Deadly Silence,7.1,Capcom,Capcom,Resident Evil - Deadly Silence (USA).nds,134217728
Princess Debut,7.1,Cave,Natsume,Princess Debut (USA).nds,67108864
Phantasy Star Zero,7.1,Sonic Team,Sega,Phantasy Star 0 (Japan).nds,134217728
Pac-Pix,7.1,Namco,Namco,Pac-Pix (USA).nds,16777216
Over the Hedge,7.1,Vicarious Visions,Activision,Over the Hedge (USA) (Video).nds,2410184
Ontamarama,7.1,Noise Factory,Atlus,Ontamarama (USA).nds,134217728
Nanostray,7.1,Shin'en,Majesco,Nanostray 2 (USA).nds,33554432
Moon (2009),7.1,Renegade Kid,Mastiff,,
Kirby: Squeak Squad,7.1,Flagship,Nintendo,Kirby - Squeak Squad (USA) (Wii U Virtual Console).nds,67108864
Guitar Hero: On Tour,7.1,Vicarious Visions,Activision,"Guitar Hero - On Tour (USA) (En,Fr).nds",134217728
Final Fantasy: The 4 Heroes of Light,7.1,Matrix Software,Square Enix,Final Fantasy - The 4 Heroes of Light (USA).nds,67108864
Electroplankton,7.1,indieszero,Nintendo,Electroplankton (USA).nds,16777216
DreamWorks Kung Fu Panda (2008),7.1,Vicarious Visions,Activision,"Kung Fu Panda 2 (USA) (En,Fr) (VKUY) (NDSi Enhanced).nds",67108864
Draglade,7.1,Dimps Corporation,Atlus,Draglade (USA).nds,33554432
Divergent Shift,7.1,Intrinsic Games,Konami,Divergent Shift (USA) (Rev 1).nds,12811264
Disney's Herbie: Rescue Rally,7.1,Climax Studios,Buena Vista Games,"Herbie - Rescue Rally (USA) (En,Fr,De,Es).nds",33554432
Digimon World DS,7.1,Bec,Namco Bandai Games,Digimon World DS (USA).nds,67108864
Bird & Beans,7.1,Nintendo,Nintendo,"Mr Bean (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).nds",16777216
Avalon Code,7.1,Matrix Software,XSEED Games,"Avalon Code (Europe) (En,Fr,De).nds",134217728
Trace Memory,7.0,Cing,Nintendo,Trace Memory (USA).nds,33554432
The Legend of Kage 2,7.0,Taito Corporation,Square Enix,"Legend of Kay (USA) (En,Fr,Es).nds",33554432
Spectrobes: Beyond the Portals,7.0,Jupiter Corporation,Disney Interactive Studios,Spectrobes - Beyond the Portals (USA).nds,134217728
Sonic Classic Collection,7.0,Creative Assembly,Sega,"Sonic Classic Collection (USA) (En,Fr,Es) (NDSi Enhanced).nds",67108864
Photo Dojo,7.0,Nintendo,Nintendo,Photo Clock (USA) (Rev 1).nds,628736
Neves,7.0,Yuke's,Yuke's,"Neves (USA) (En,Ja).nds",8388608
Nervous Brickdown,7.0,Arkedo Studio,Eidos Interactive,"Nervous Brickdown (USA) (En,Fr,De,Es,It).nds",16777216
