title,score,developer,publisher,rom_name,size,running_total
escapeVektor: Chapter 1,8.1,Nnooo,Nnooo,escapeVektor - Chapter 1 (USA) (WiiWare).wad,23.2 MiB,94.8 GiB
EA Sports Active,8.1,EA Canada,EA Sports,"EA Sports Active - More Workouts (USA) (En,Fr).iso",4.4 GiB,99.2 GiB
Wii Sports Resort,8.0,Nintendo,Nintendo,"Wii Sports Resort (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,103.6 GiB
Wii Fit Plus,8.0,Nintendo,Nintendo,"Wii Fit Plus (USA) (En,Fr,Es).iso",4.4 GiB,107.9 GiB
Wii Fit,8.0,Nintendo,Nintendo,"Wii Fit (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,112.3 GiB
Trauma Center: Second Opinion,8.0,Atlus,Atlus,Trauma Center - Second Opinion (USA).iso,4.4 GiB,116.7 GiB
The Last Story,8.0,Mistwalker,XSEED Games,"Last Story, The (USA) (En,Fr,Es).iso",7.9 GiB,124.6 GiB
Red Steel 2,8.0,Ubisoft Paris,Ubisoft,"Red Steel 2 (USA) (En,Fr,Es).iso",4.4 GiB,129.0 GiB
Final Fantasy Crystal Chronicles: My Life as a King,8.0,Square Enix,Square Enix,Final Fantasy Crystal Chronicles - My Life as a King (USA) (WiiWare) (DLC).wad,3.6 MiB,129.0 GiB
EA Sports Active More Workouts,8.0,Electronic Arts,Electronic Arts,"EA Sports Active - More Workouts (USA) (En,Fr).iso",4.4 GiB,133.4 GiB
"You, Me, and the Cubes",7.9,fyto,Nintendo,"You, Me, and the Cubes (USA) (WiiWare).wad",22.7 MiB,133.4 GiB
Rune Factory Frontier,7.9,Neverland,XSEED Games,Rune Factory - Frontier (USA).iso,4.4 GiB,137.8 GiB
Rubik's Puzzle Galaxy: RUSH,7.9,Two Tribes,The Game Factory,Rubik's Puzzle Galaxy - RUSH (USA) (WiiWare).wad,17.7 MiB,137.8 GiB
Metroid: Other M,7.9,Team Ninja,Nintendo,"Metroid - Other M (USA) (En,Fr,Es) (Rev 1).iso",7.9 GiB,145.7 GiB
Mario Strikers Charged,7.9,Next Level Games,Nintendo,"Mario Strikers Charged (USA) (En,Fr,Es) (Rev 1).iso",4.4 GiB,150.1 GiB
Wario Land: Shake It!,7.8,Good-Feel,Nintendo,"Wario Land - Shake It! (USA) (En,Fr,Es).iso",4.4 GiB,154.5 GiB
The Magic Obelisk,7.8,Game Arts,Game Arts,"Magic Obelisk, The (USA) (WiiWare).wad",31.0 MiB,154.5 GiB
The House of the Dead: Overkill,7.8,Headstrong Games,Sega,"House of the Dead, The - Overkill (USA) (En,Fr,Es).iso",4.4 GiB,158.9 GiB
Grand Slam Tennis (2012),7.8,EA Canada,Electronic Arts,"Grand Slam Tennis (USA) (En,Fr).iso",4.4 GiB,163.3 GiB
Fire Emblem: Radiant Dawn,7.8,Intelligent Systems,Nintendo,Fire Emblem - Radiant Dawn (USA) (Rev 1).iso,4.4 GiB,167.6 GiB
Disney Guilty Party,7.8,Wideload Games Inc.,Disney Interactive Studios,"Disney Sing It - Party Hits (USA) (En,Fr,Es).iso",4.4 GiB,172.0 GiB
Castlevania: The Adventure ReBirth,7.8,M2,Konami,Castlevania - The Adventure ReBirth (USA) (WiiWare).wad,35.2 MiB,172.0 GiB
"Blast Works: Build, Trade, Destroy",7.8,BudCat,Majesco,"Blast Works - Build, Trade, Destroy (USA).iso",4.4 GiB,176.4 GiB
Trauma Center: New Blood,7.7,Atlus,Atlus,Trauma Center - New Blood (USA).iso,4.4 GiB,180.8 GiB
Project Zero 2: Wii Edition,7.7,Koei Tecmo Games,Nintendo,"Project Zero 2 - Wii Edition (Europe) (En,Fr,De,Es,It).iso",4.4 GiB,185.2 GiB
Mercury Meltdown Revolution,7.7,Ignition Entertainment,Ignition Entertainment,"Mercury Meltdown Revolution (USA) (En,Fr,Es).iso",4.4 GiB,189.6 GiB
Kirby's Return to Dream Land,7.7,HAL Labs,Nintendo,"Kirby's Return to Dream Land (USA) (En,Fr,Es).iso",4.4 GiB,193.9 GiB
Excitebots: Trick Racing,7.7,Monster Games Inc.,Nintendo,ExciteBots - Trick Racing (USA).iso,4.4 GiB,198.3 GiB
Wii Sports,7.6,Nintendo,Nintendo,Wii Sports (USA) (Rev 1).iso,4.4 GiB,202.7 GiB
Order Up!,7.6,SuperVillain Studios,Zoo Games,Order Up! (USA) (Rev 1).iso,4.4 GiB,207.1 GiB
NHL Slapshot,7.6,EA Sports,EA Sports,NHL Slapshot (USA).iso,4.4 GiB,211.4 GiB
NEVES Plus,7.6,Yuke's,Yuke's,Neves Plus (USA) (WiiWare).wad,11.4 MiB,211.5 GiB
Jungle Speed,7.6,Next Level Games,"Playful Entertainment, Inc.",Jungle Speed (USA) (WiiWare).wad,39.3 MiB,211.5 GiB
Harvest Moon: Animal Parade,7.6,Marvelous Entertainment,Natsume,Harvest Moon - Animal Parade (USA).iso,4.4 GiB,215.9 GiB
Final Fantasy Fables: Chocobo's Dungeon,7.6,h.a.n.d. Inc.,Square Enix,Final Fantasy Fables - Chocobo's Dungeon (USA).iso,4.4 GiB,220.2 GiB
Endless Ocean: Blue World,7.6,Arika,Nintendo,Endless Ocean - Blue World (USA).iso,4.4 GiB,224.6 GiB
Contra ReBirth,7.6,M2,Konami,Contra ReBirth (USA) (WiiWare).wad,36.7 MiB,224.7 GiB
