title,score,developer,publisher
Turok: Evolution (2002),7.2,RFX Interactive,Acclaim
The Scorpion King: Sword of Osiris,7.2,WayForward,Universal Interactive
Sword of Mana,7.2,Brownie Brown,Nintendo
Super Robot Taisen: Original Generation,7.2,Banpresto,Atlus
Spyro: Attack of the Rhynocs,7.2,Digital Eclipse,Universal Interactive
Shrek 2 (2004),7.2,Vicarious Visions,Activision
Shaman King: Master of Spirits 2,7.2,KCEJ,Konami
Noddy: A Day in Toyland,7.2,Lucky Jump,The Game Factory
Lemony Snicket's A Series of Unfortunate Events (2004),7.2,Griptonite Games,Activision
Justice League Heroes: The Flash,7.2,WayForward,Warner Bros. Interactive Entertainment
Hamtaro: Ham-Ham Heartbreak,7.2,Pax Softonica,Nintendo
Fire Pro Wrestling 2,7.2,Spike,Bam Entertainment
Defender of the Crown,7.2,Crawfish Interactive,Metro3D
Banjo-Kazooie: Grunty's Revenge,7.2,Rare Ltd.,THQ
Ballistic: Ecks vs. Sever II,7.2,Crawfish Interactive,Bam Entertainment
Zone of the Enders: The Fist of Mars,7.1,WinkySoft,Konami
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,7.1,TOSE,Buena Vista Interactive
Teenage Mutant Ninja Turtles (Game Boy Advance),7.1,Konami,Konami
SpongeBob SquarePants: Revenge of the Flying Dutchman (2002),7.1,Vicarious Visions,THQ
Shrek: Hassle at the Castle,7.1,TOSE,TDK Mediactive
Secret Agent Barbie: Royal Jewels Mission,7.1,Digital Illusions,VU Games
Rampage: Puzzle Attack,7.1,Ninai Games,Midway
Hi Hi Puffy AmiYumi: Kaznapped!,7.1,Altron,D3Publisher
Game & Watch Gallery 4,7.1,TOSE,Nintendo
DreamWorks Madagascar (Game Boy Advance),7.1,Vicarious Visions,Activision
Disney's Chicken Little (2005),7.1,Artificial Mind and Movement,Buena Vista Games
Aero The Acro-Bat,7.1,Atomic Planet Entertainment,Metro3D
Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero,7.0,ShunDa,Bandai
Turbo Turtle Adventure,7.0,Iridon Interactive AB,Majesco
The Magical Quest Starring Mickey Mouse,7.0,Capcom,Nintendo
Sega Arcade Gallery,7.0,Bits Studios,THQ
ESPN Final Round Golf 2002,7.0,Konami Computer Entertainment Nagoya,Konami
Dokapon: Monster Hunter,7.0,"Asmik Ace Entertainment, Inc",AIA
DK: King of Swing,7.0,Paon Corporation,Nintendo
Contra III: The Alien Wars,7.0,TOSE,Konami
Columns Crown,7.0,Wow Entertainment,THQ
CIMA: The Enemy,7.0,Neverland,Natsume
Sonic Battle,6.9,Sonic Team,THQ
Motocross Maniacs Advance,6.9,Konami,Konami
Harry Potter and the Prisoner of Azkaban (2004),6.9,Griptonite Games,EA Games
Duel Masters: Sempai Legends,6.9,Mistic Software,Atari SA
Dragon Ball GT: Transformation,6.9,Webfoot Technologies,Atari SA
Disney's Cinderella: Magical Dreams,6.9,Culture Brain,Buena Vista Interactive
American Bass Challenge,6.9,Starfish,Ubisoft
Yu-Gi-Oh! World Championship Tournament 2004,6.8,KCEJ,Konami
Marvel's The Invincible Iron Man,6.8,Torus Games,Activision
Sigma Star Saga,6.8,WayForward,Namco
Sea Trader: Rise of Taipan,6.8,Jaleco Entertainment,Jaleco Entertainment
Robopon 2: Ring Version,6.8,RED Entertainment,Atlus
Mega Man Battle Network 4: Red Sun,6.8,Capcom,Capcom
Jazz Jackrabbit,6.8,Game Titan,Jaleco Entertainment
Grand Theft Auto (Game Boy Advance),6.8,Digital Eclipse,Rockstar Games
Dr. Sudoku,6.8,Success,Mastiff
Disney's Tarzan: Return to the Jungle,6.8,Digital Eclipse,Activision
Banjo-Pilot,6.8,Rare Ltd.,THQ
Yu-Gi-Oh! GX: Duel Academy,6.7,Konami,Konami
Yu-Gi-Oh! Dungeon Dice Monsters,6.7,Konami,Konami
Urban Yeti!,6.7,Cave Barn,Telegames
The Lord of the Rings: The Third Age (2004),6.7,Griptonite Games,EA Games
Pokemon Mystery Dungeon: Red Rescue Team,6.7,ChunSoft,Nintendo
Planet Monsters,6.7,Planet Interactive,Titus Software
Mega Man Battle Network 5: Team Protoman,6.7,Capcom,Capcom
Mega Man Battle Network 4: Blue Moon,6.7,Capcom,Capcom
Guilty Gear X Advance Edition,6.7,Arc System Works,Sammy Studios
F-14 Tomcat,6.7,Virtucraft,Majesco
Crash Bandicoot Purple: Ripto's Rampage,6.7,Vicarious Visions,VU Games
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,6.6,Konami,Konami
Pitfall: The Lost Expedition (2004),6.6,Torus Games,Activision
Mega Man Battle Network 5: Team Colonel,6.6,Capcom,Capcom
Lara Croft - Tomb Raider: The Prophecy,6.6,Ubisoft Milan,Ubisoft
Hot Wheels: Burnin' Rubber,6.6,Altron,THQ
Duel Masters: Kaijudo Showdown,6.6,Mistic Software,Atari SA
Dr. Mario,6.6,Nintendo,Nintendo
Disney's Lilo & Stitch 2: Hamsterviel Havoc,6.6,Climax Studios,Disney Interactive
Capcom Classics Mini Mix,6.6,Sensory Sweep,Capcom
Monster Force,6.5,Digital Eclipse,Universal Interactive
Jurassic Park III: Park Builder,6.5,Konami,Konami
Disney presents Home on the Range,6.5,Artificial Mind and Movement,Disney Interactive
Disney/Pixar Ratatouille (2007),6.5,Helixe,THQ
Dexter's Laboratory: Deesaster Strikes!,6.5,Virtucraft,Bam Entertainment
Dark Arena,6.5,Graphic State,Majesco
Advance Guardian Heroes,6.5,Treasure,Ubisoft
Scooby-Doo,6.4,Helixe,THQ
Onimusha Tactics,6.4,Capcom,Capcom
Fortress (2001),6.4,Pipe Dream Interactive,Majesco
Disney's The Lion King 1 1/2,6.4,Vicarious Visions,Disney Interactive
Dinotopia: The Timestone Pirates,6.4,RFX Interactive,TDK Mediactive
The Great Circus Mystery Starring Mickey & Minnie,6.3,Klein Computer Entertainment,Capcom
Samurai Jack: The Amulet of Time,6.3,Virtucraft,Bam Entertainment
Sabrina the Teenage Witch: Potion Commotion,6.3,Ubisoft,Ubisoft
Mega Man Battle Network 6: Cybeast Falzar,6.3,Capcom,Capcom
Gumby vs. the Astrobots,6.3,Torus Games,Namco
DreamWorks Shark Tale (2004),6.3,Vicarious Visions,Activision
Digimon Battle Spirit 2,6.3,Dimps Corporation,Bandai
Butt Ugly Martians: B.K.M. Battles,6.3,Runecraft,VU Games
Altered Beast: Guardian of the Realms,6.3,3d6 Games,THQ
WWF Road to WrestleMania,6.2,Natsume,THQ
Uno Free Fall,6.2,Black Lantern Studios,DSI Games
The Tower SP,6.2,Vivarium,Sega
Mega Man Battle Network 6: Cybeast Gregar,6.2,Capcom,Capcom
Mario Pinball Land,6.2,Fuse Games Limited,Nintendo
Lego Knights' Kingdom,6.2,Razorback Developments,THQ
DreamWorks Over the Hedge: Hammy Goes Nuts (2006),6.2,Vicarious Visions,Activision
Dragon Ball Z: Collectible Card Game,6.2,ImaginEngine,Infogrames
