title,score,developer,publisher
Short Peace: Ranko Tsukigime's Longest Day,5.6,Crispy's,Bandai Namco Games
Wheel of Fortune (2009),5.5,Sony Online Entertainment,Sony Online Entertainment
Trinity: Souls of Zill O'll,5.5,Omega Force,Tecmo Koei Games
Topatoi: Spinning Through The Worlds,5.5,Boolat Games,Boolat Games
Start the Party!,5.5,Supermassive Games,SCEA
Saint Seiya: Brave Soldiers,5.5,Dimps Corporation,Namco Bandai Games
Hyperdimension Neptunia Victory,5.5,Compile Heart,NIS America
Genji: Days of the Blade,5.5,Game Republic,SCEA
Elevator Action Deluxe,5.4,,Square Enix
Ace Combat Infinity,5.4,Project Aces ,Namco Bandai Games
PlayStation Move Heroes,5.3,Nihilistic,SCEA
Lair,5.3,Factor 5,SCEA
Hyperdimension Neptunia MK2,5.3,Compile Heart,NIS America
TerRover,5.2,Creat Studios,Sony Online Entertainment
Jeopardy! (2008),5.1,Sony Online Entertainment,Sony Online Entertainment
Start the Party! Save the World,5.0,Supermassive Games,SCEA
Kung-Fu Live,5.0,Virtual Air Guitar Company,Virtual Air Guitar Company
Invizimals: The Lost Kingdom,5.0,Magenta Software,SCEA
Wheels of Destruction: World Tour,4.9,"Gelid Games, Inc.","Gelid Games, Inc."
Super Rub a Dub,4.9,Sumo Digital,SCEA
Novastrike,4.9,TikGames,TikGames
"Lights, Camera, Party!",4.9,Frima Studio,Frima Studio
Dungeon Twister,4.9,Hydravision,Hydravision
The Fight: Lights Out,4.8,Coldwood Interactive,SCEA
The Punisher: No Mercy,4.7,Zen Studios,Zen Studios
Deadfall Adventures: Heart of Atlantis,4.6,The Farm 51,The Farm 51
.detuned,4.6,.theprodukkt,SCEA
Hyperdimension Neptunia,4.5,Compile Heart,NIS America
Last Rebellion,4.4,Hit Maker,NIS America
PlayStation Move Ape Escape,4.3,SCE Japan Studio,SCEA
Time and Eternity,4.2,Imageepoch,NIS America
Go! Sports Skydiving,4.2,Light Weight,SCEA
Page Chronica,4.0,Red Hare Studios,Red Hare Studios
Dare To Fly,4.0,Gameshastra Inc.,SCEE
SoulCalibur: Lost Swords,3.8,Project Soul,Bandai Namco Games
Kung Fu Rider,3.6,SCE Japan Studio,SCEA
Mobile Suit Gundam: Crossfire,3.3,Bec,Namco Bandai Games
Magus,3.2,Black Tower Studios,Aksys Games
Test Yourself: Psychology,2.9,Creat Studios,Creat Studios
