title,score,developer,publisher,rom_name,size
Bomberman Max 2: Blue Advance,7.5,Hudson,Majesco,Bomberman Max 2 - Red Advance (USA).gba,8388608
Atari Anniversary Advance,7.5,Digital Eclipse,Infogrames,Atari Anniversary Advance (USA).gba,4194304
Spyro: Season of Ice,7.4,Digital Eclipse,Universal Interactive,Spyro 2 - Season of Flame (USA).gba,8388608
Shining Soul II,7.4,Nex Entertainment,Atlus,Shining Soul II (USA).gba,16777216
Jet Grind Radio,7.4,Vicarious Visions,THQ,Jet Grind Radio (USA).gba,8388608
Hot Potato! (2001),7.4,Pukka Games,Bam Entertainment,Hot Potato! (USA).gba,4194304
GT Advance 3: Pro Concept Racing,7.4,MTO,THQ,GT Advance 3 - Pro Concept Racing (USA).gba,8388608
Dr. Mario / Puzzle League,7.4,TOSE,Nintendo,"2 Games in 1 - Dr. Mario + Puzzle League (Europe) (En,Fr,De,Es,It).gba",8388608
Zelda II: The Adventure of Link,7.3,Nintendo,Nintendo,"Classic NES Series - Zelda II - The Adventure of Link (USA, Europe).gba",1048576
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,7.3,Konami,Konami,"Yu-Gi-Oh! - Ultimate Masters - World Championship Tournament 2006 (USA) (En,Ja,Fr,De,Es,It).gba",33554432
VeggieTales: LarryBoy and the Bad Apple,7.3,Crave,Crave,VeggieTales - LarryBoy and the Bad Apple (USA).gba,4194304
Lady Sia,7.3,RFX Interactive,TDK Mediactive,"Lady Sia (USA) (En,Fr,De,Es,It,Nl).gba",4194304
It's Mr Pants,7.3,Rare Ltd.,THQ,"It's Mr. Pants (USA, Europe).gba",4194304
Frogger's Adventures: Temple of the Frog,7.3,Konami Computer Entertainment Hawaii,Konami,"Frogger's Adventures - Temple of the Frog (USA) (En,Fr,De,Es,It).gba",4194304
Driver 2 Advance,7.3,Sennari Interactive,Infogrames,"Driver 2 Advance (Europe) (En,Fr,De,Es,It) (Beta).gba",8388608
Dragon Ball Z: Supersonic Warriors,7.3,Cavia Inc.,Atari SA,Dragon Ball Z - Supersonic Warriors (USA).gba,16777216
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,7.2,KCEJ,Konami,"Yu-Gi-Oh! - Worldwide Edition - Stairway to the Destined Duel (USA) (En,Ja,Fr,De,Es,It).gba",16777216
Wings (1990),7.2,Crawfish Interactive,Metro3D,,
Turok: Evolution (2002),7.2,RFX Interactive,Acclaim,Turok - Evolution (USA).gba,8388608
The Scorpion King: Sword of Osiris,7.2,WayForward,Universal Interactive,"Scorpion King, The - Sword of Osiris (USA).gba",4194304
Sword of Mana,7.2,Brownie Brown,Nintendo,"Sword of Mana (Europe) (Es,It).gba",16777216
Super Robot Taisen: Original Generation,7.2,Banpresto,Atlus,Super Robot Taisen - Original Generation 2 (USA).gba,16777216
Spyro: Attack of the Rhynocs,7.2,Digital Eclipse,Universal Interactive,Spyro - Attack of the Rhynocs (USA).gba,8388608
Shrek 2 (2004),7.2,Vicarious Visions,Activision,"Shrek 2 (Europe) (Fr,De,Es,It,Sv).gba",8388608
